Detector,Descriptor,Selector,Img,TTC-Lidar,TTC-Cam,TTC-diff
SHITOMASI,BRISK,SEL_NN,1,12.9722,19.1295,-6.15732
SHITOMASI,BRISK,SEL_NN,2,12.264,14.4325,-2.16851
SHITOMASI,BRISK,SEL_NN,3,13.9161,14.1413,-0.22512
SHITOMASI,BRISK,SEL_NN,4,14.8865,14.8718,0.0147634
SHITOMASI,BRISK,SEL_NN,5,12.1873,13.4119,-1.22463
SHITOMASI,BRISK,SEL_NN,6,7.50199,13.5266,-6.02458
SHITOMASI,BRISK,SEL_NN,7,34.3404,13.4789,20.8615
SHITOMASI,BRISK,SEL_NN,8,18.7875,14.2028,4.58471
SHITOMASI,BRISK,SEL_NN,9,15.8894,11.5429,4.34648
SHITOMASI,BRISK,SEL_NN,10,13.7297,-inf,inf
SHITOMASI,BRISK,SEL_NN,11,10.4914,13.2654,-2.77398
SHITOMASI,BRISK,SEL_NN,12,10.1,12.0281,-1.92808
SHITOMASI,BRISK,SEL_NN,13,9.22307,12.5802,-3.35715
SHITOMASI,BRISK,SEL_NN,14,10.9678,12.675,-1.70725
SHITOMASI,BRISK,SEL_NN,15,8.09422,9.31344,-1.21922
SHITOMASI,BRISK,SEL_NN,16,8.81392,13.1274,-4.31345
SHITOMASI,BRISK,SEL_NN,17,10.2926,10.9452,-0.652615
SHITOMASI,BRISK,SEL_NN,18,8.30978,9.20014,-0.890364

SHITOMASI,BRISK,SEL_KNN,1,12.9722,13.9019,-0.929763
SHITOMASI,BRISK,SEL_KNN,2,12.264,11.3543,0.909752
SHITOMASI,BRISK,SEL_KNN,3,13.9161,13.4904,0.425737
SHITOMASI,BRISK,SEL_KNN,4,14.8865,12.398,2.48855
SHITOMASI,BRISK,SEL_KNN,5,12.1873,12.6754,-0.488142
SHITOMASI,BRISK,SEL_KNN,6,7.50199,15.1783,-7.67628
SHITOMASI,BRISK,SEL_KNN,7,34.3404,9.85209,24.4883
SHITOMASI,BRISK,SEL_KNN,8,18.7875,12.0583,6.72927
SHITOMASI,BRISK,SEL_KNN,9,15.8894,11.5126,4.37676
SHITOMASI,BRISK,SEL_KNN,10,13.7297,14.685,-0.955381
SHITOMASI,BRISK,SEL_KNN,11,10.4914,11.3024,-0.811009
SHITOMASI,BRISK,SEL_KNN,12,10.1,11.6524,-1.55241
SHITOMASI,BRISK,SEL_KNN,13,9.22307,11.7243,-2.50128
SHITOMASI,BRISK,SEL_KNN,14,10.9678,11.5069,-0.539091
SHITOMASI,BRISK,SEL_KNN,15,8.09422,9.33785,-1.24363
SHITOMASI,BRISK,SEL_KNN,16,8.81392,10.7161,-1.90219
SHITOMASI,BRISK,SEL_KNN,17,10.2926,11.4487,-1.15617
SHITOMASI,BRISK,SEL_KNN,18,8.30978,9.12792,-0.818144

SHITOMASI,BRIEF,SEL_NN,1,12.9722,14.4367,-1.46454
SHITOMASI,BRIEF,SEL_NN,2,12.264,14.4019,-2.13789
SHITOMASI,BRIEF,SEL_NN,3,13.9161,9.73978,4.17635
SHITOMASI,BRIEF,SEL_NN,4,14.8865,14.982,-0.0954879
SHITOMASI,BRIEF,SEL_NN,5,12.1873,12.3866,-0.199329
SHITOMASI,BRIEF,SEL_NN,6,7.50199,13.2703,-5.76833
SHITOMASI,BRIEF,SEL_NN,7,34.3404,15.8328,18.5076
SHITOMASI,BRIEF,SEL_NN,8,18.7875,11.8818,6.90569
SHITOMASI,BRIEF,SEL_NN,9,15.8894,11.6421,4.24732
SHITOMASI,BRIEF,SEL_NN,10,13.7297,12.9491,0.780532
SHITOMASI,BRIEF,SEL_NN,11,10.4914,11.4982,-1.00679
SHITOMASI,BRIEF,SEL_NN,12,10.1,11.7515,-1.6515
SHITOMASI,BRIEF,SEL_NN,13,9.22307,11.7197,-2.49661
SHITOMASI,BRIEF,SEL_NN,14,10.9678,11.3557,-0.387933
SHITOMASI,BRIEF,SEL_NN,15,8.09422,12.3397,-4.24546
SHITOMASI,BRIEF,SEL_NN,16,8.81392,9.04476,-0.230832
SHITOMASI,BRIEF,SEL_NN,17,10.2926,11.1382,-0.845641
SHITOMASI,BRIEF,SEL_NN,18,8.30978,8.97434,-0.664557

SHITOMASI,BRIEF,SEL_KNN,1,12.9722,13.8948,-0.922606
SHITOMASI,BRIEF,SEL_KNN,2,12.264,13.1487,-0.884632
SHITOMASI,BRIEF,SEL_KNN,3,13.9161,13.3827,0.533424
SHITOMASI,BRIEF,SEL_KNN,4,14.8865,13.6506,1.23591
SHITOMASI,BRIEF,SEL_KNN,5,12.1873,12.1848,0.0024914
SHITOMASI,BRIEF,SEL_KNN,6,7.50199,13.8952,-6.39324
SHITOMASI,BRIEF,SEL_KNN,7,34.3404,18.3368,16.0037
SHITOMASI,BRIEF,SEL_KNN,8,18.7875,12.3793,6.4082
SHITOMASI,BRIEF,SEL_KNN,9,15.8894,10.2093,5.68007
SHITOMASI,BRIEF,SEL_KNN,10,13.7297,13.3448,0.384861
SHITOMASI,BRIEF,SEL_KNN,11,10.4914,11.0986,-0.607221
SHITOMASI,BRIEF,SEL_KNN,12,10.1,11.2117,-1.11169
SHITOMASI,BRIEF,SEL_KNN,13,9.22307,12.0205,-2.79744
SHITOMASI,BRIEF,SEL_KNN,14,10.9678,12.1773,-1.20958
SHITOMASI,BRIEF,SEL_KNN,15,8.09422,11.8818,-3.78761
SHITOMASI,BRIEF,SEL_KNN,16,8.81392,10.7212,-1.90727
SHITOMASI,BRIEF,SEL_KNN,17,10.2926,11.0839,-0.791391
SHITOMASI,BRIEF,SEL_KNN,18,8.30978,7.75039,0.55939

SHITOMASI,ORB,SEL_NN,1,12.9722,14.3429,-1.37075
SHITOMASI,ORB,SEL_NN,2,12.264,11.9213,0.342738
SHITOMASI,ORB,SEL_NN,3,13.9161,12.0682,1.84789
SHITOMASI,ORB,SEL_NN,4,14.8865,14.0967,0.789779
SHITOMASI,ORB,SEL_NN,5,12.1873,12.3,-0.112738
SHITOMASI,ORB,SEL_NN,6,7.50199,13.4234,-5.92144
SHITOMASI,ORB,SEL_NN,7,34.3404,12.8653,21.4751
SHITOMASI,ORB,SEL_NN,8,18.7875,12.1304,6.65717
SHITOMASI,ORB,SEL_NN,9,15.8894,11.2285,4.66086
SHITOMASI,ORB,SEL_NN,10,13.7297,13.8117,-0.0820695
SHITOMASI,ORB,SEL_NN,11,10.4914,11.4758,-0.984433
SHITOMASI,ORB,SEL_NN,12,10.1,11.5615,-1.46153
SHITOMASI,ORB,SEL_NN,13,9.22307,11.6524,-2.42936
SHITOMASI,ORB,SEL_NN,14,10.9678,11.8438,-0.876069
SHITOMASI,ORB,SEL_NN,15,8.09422,10.6503,-2.55613
SHITOMASI,ORB,SEL_NN,16,8.81392,9.91297,-1.09904
SHITOMASI,ORB,SEL_NN,17,10.2926,9.5383,0.754252
SHITOMASI,ORB,SEL_NN,18,8.30978,8.19655,0.113229

SHITOMASI,ORB,SEL_KNN,1,12.9722,13.6954,-0.723215
SHITOMASI,ORB,SEL_KNN,2,12.264,12.2338,0.0302134
SHITOMASI,ORB,SEL_KNN,3,13.9161,11.8924,2.02376
SHITOMASI,ORB,SEL_KNN,4,14.8865,12.1319,2.75463
SHITOMASI,ORB,SEL_KNN,5,12.1873,12.1312,0.0560824
SHITOMASI,ORB,SEL_KNN,6,7.50199,13.7589,-6.25692
SHITOMASI,ORB,SEL_KNN,7,34.3404,12.3426,21.9978
SHITOMASI,ORB,SEL_KNN,8,18.7875,12.2022,6.5853
SHITOMASI,ORB,SEL_KNN,9,15.8894,11.2653,4.62408
SHITOMASI,ORB,SEL_KNN,10,13.7297,13.4962,0.233488
SHITOMASI,ORB,SEL_KNN,11,10.4914,11.3027,-0.811276
SHITOMASI,ORB,SEL_KNN,12,10.1,11.2447,-1.14469
SHITOMASI,ORB,SEL_KNN,13,9.22307,12.3436,-3.12052
SHITOMASI,ORB,SEL_KNN,14,10.9678,11.545,-0.577249
SHITOMASI,ORB,SEL_KNN,15,8.09422,10.2592,-2.16496
SHITOMASI,ORB,SEL_KNN,16,8.81392,11.1584,-2.3445
SHITOMASI,ORB,SEL_KNN,17,10.2926,10.8416,-0.54909
SHITOMASI,ORB,SEL_KNN,18,8.30978,8.43174,-0.121958



HARRIS,BRISK,SEL_NN,1,12.9722,nan,nan
HARRIS,BRISK,SEL_NN,2,12.264,0.178141,12.0859
HARRIS,BRISK,SEL_NN,3,13.9161,43.3848,-29.4687
HARRIS,BRISK,SEL_NN,4,14.8865,10.9782,3.90828
HARRIS,BRISK,SEL_NN,5,12.1873,40.9362,-28.749
HARRIS,BRISK,SEL_NN,6,7.50199,38.5563,-31.0543
HARRIS,BRISK,SEL_NN,7,34.3404,10.965,23.3755
HARRIS,BRISK,SEL_NN,8,18.7875,-1.05872,19.8462
HARRIS,BRISK,SEL_NN,9,15.8894,10.5237,5.36569
HARRIS,BRISK,SEL_NN,10,13.7297,nan,nan
HARRIS,BRISK,SEL_NN,11,10.4914,-1.51993,12.0113
HARRIS,BRISK,SEL_NN,12,10.1,-inf,inf
HARRIS,BRISK,SEL_NN,13,9.22307,11.4828,-2.25978
HARRIS,BRISK,SEL_NN,14,10.9678,-11.422,22.3898
HARRIS,BRISK,SEL_NN,15,8.09422,0.218529,7.87569
HARRIS,BRISK,SEL_NN,16,8.81392,31.7763,-22.9623
HARRIS,BRISK,SEL_NN,17,10.2926,nan,nan
HARRIS,BRISK,SEL_NN,18,8.30978,-0.56345,8.87323

HARRIS,BRIEF,SEL_NN,1,12.9722,nan,nan
HARRIS,BRIEF,SEL_NN,2,12.264,10.5,1.76404
HARRIS,BRIEF,SEL_NN,3,13.9161,43.3848,-29.4687
HARRIS,BRIEF,SEL_NN,4,14.8865,9.03176,5.85477
HARRIS,BRIEF,SEL_NN,5,12.1873,48.3849,-36.1976
HARRIS,BRIEF,SEL_NN,6,7.50199,11.7612,-4.2592
HARRIS,BRIEF,SEL_NN,7,34.3404,13.6852,20.6553
HARRIS,BRIEF,SEL_NN,8,18.7875,11.0939,7.69358
HARRIS,BRIEF,SEL_NN,9,15.8894,10.5237,5.36569
HARRIS,BRIEF,SEL_NN,10,13.7297,2.64633,11.0833
HARRIS,BRIEF,SEL_NN,11,10.4914,-0.435643,10.927
HARRIS,BRIEF,SEL_NN,12,10.1,-inf,inf
HARRIS,BRIEF,SEL_NN,13,9.22307,11.4828,-2.25978
HARRIS,BRIEF,SEL_NN,14,10.9678,-12.5237,23.4914
HARRIS,BRIEF,SEL_NN,15,8.09422,5.94058,2.15364
HARRIS,BRIEF,SEL_NN,16,8.81392,14.9546,-6.14067
HARRIS,BRIEF,SEL_NN,17,10.2926,-10.6408,20.9334
HARRIS,BRIEF,SEL_NN,18,8.30978,1.38543,6.92435

HARRIS,ORB,SEL_NN,2,12.264,-25.5913,37.8553
HARRIS,ORB,SEL_NN,3,13.9161,17.1036,-3.18745
HARRIS,ORB,SEL_NN,4,14.8865,0.378836,14.5077
HARRIS,ORB,SEL_NN,5,12.1873,30.6668,-18.4795
HARRIS,ORB,SEL_NN,6,7.50199,-inf,inf
HARRIS,ORB,SEL_NN,7,34.3404,12.2008,22.1396
HARRIS,ORB,SEL_NN,8,18.7875,-2.7224,21.5099
HARRIS,ORB,SEL_NN,9,15.8894,nan,nan
HARRIS,ORB,SEL_NN,10,13.7297,-0.304941,14.0346
HARRIS,ORB,SEL_NN,11,10.4914,nan,nan
HARRIS,ORB,SEL_NN,12,10.1,nan,nan
HARRIS,ORB,SEL_NN,13,9.22307,11.4828,-2.25978
HARRIS,ORB,SEL_NN,14,10.9678,-11.422,22.3898
HARRIS,ORB,SEL_NN,15,8.09422,2.16264,5.93158
HARRIS,ORB,SEL_NN,16,8.81392,8.53774,0.276187
HARRIS,ORB,SEL_NN,17,10.2926,0.233825,10.0587
HARRIS,ORB,SEL_NN,18,8.30978,0.802086,7.50769

HARRIS,FREAK,SEL_NN,11,10.4914,-0.134504,10.6259

HARRIS,SIFT,SEL_NN,1,12.9722,nan,nan
HARRIS,SIFT,SEL_NN,2,12.264,-inf,inf
HARRIS,SIFT,SEL_NN,3,13.9161,12.3821,1.53403
HARRIS,SIFT,SEL_NN,4,14.8865,-9.80345,24.69
HARRIS,SIFT,SEL_NN,5,12.1873,13.3698,-1.18255
HARRIS,SIFT,SEL_NN,6,7.50199,11.7612,-4.2592
HARRIS,SIFT,SEL_NN,7,34.3404,12.2008,22.1396
HARRIS,SIFT,SEL_NN,8,18.7875,11.9377,6.84978
HARRIS,SIFT,SEL_NN,9,15.8894,10.7009,5.18845
HARRIS,SIFT,SEL_NN,10,13.7297,-10.5149,24.2446
HARRIS,SIFT,SEL_NN,11,10.4914,5.8899,4.60151
HARRIS,SIFT,SEL_NN,12,10.1,-inf,inf
HARRIS,SIFT,SEL_NN,13,9.22307,11.5879,-2.36479
HARRIS,SIFT,SEL_NN,14,10.9678,-11.422,22.3898
HARRIS,SIFT,SEL_NN,15,8.09422,7.49799,0.596231
HARRIS,SIFT,SEL_NN,16,8.81392,12.539,-3.72512
HARRIS,SIFT,SEL_NN,17,10.2926,-3.05649,13.349
HARRIS,SIFT,SEL_NN,18,8.30978,2537.45,-2529.14

HARRIS,SIFT,SEL_KNN,1,12.9722,nan,nan
HARRIS,SIFT,SEL_KNN,2,12.264,-inf,inf
HARRIS,SIFT,SEL_KNN,3,13.9161,nan,nan
HARRIS,SIFT,SEL_KNN,4,14.8865,nan,nan
HARRIS,SIFT,SEL_KNN,5,12.1873,30.6668,-18.4795
HARRIS,SIFT,SEL_KNN,6,7.50199,44.7033,-37.2013
HARRIS,SIFT,SEL_KNN,7,34.3404,68.9785,-34.6381
HARRIS,SIFT,SEL_KNN,8,18.7875,11.9377,6.84978
HARRIS,SIFT,SEL_KNN,9,15.8894,2.83446,13.0549
HARRIS,SIFT,SEL_KNN,10,13.7297,nan,nan
HARRIS,SIFT,SEL_KNN,11,10.4914,nan,nan
HARRIS,SIFT,SEL_KNN,12,10.1,-inf,inf
HARRIS,SIFT,SEL_KNN,13,9.22307,-89.1098,98.3328
HARRIS,SIFT,SEL_KNN,14,10.9678,-22.8441,33.8118
HARRIS,SIFT,SEL_KNN,15,8.09422,2.4058,5.68842
HARRIS,SIFT,SEL_KNN,16,8.81392,14.9546,-6.14067
HARRIS,SIFT,SEL_KNN,17,10.2926,nan,nan
HARRIS,SIFT,SEL_KNN,18,8.30978,nan,nan

BRISK,BRISK,SEL_NN,1,12.9722,15.5841,-2.61193
BRISK,BRISK,SEL_NN,2,12.264,16.5454,-4.28134
BRISK,BRISK,SEL_NN,3,13.9161,11.8153,2.10084
BRISK,BRISK,SEL_NN,4,14.8865,14.677,0.209497
BRISK,BRISK,SEL_NN,5,12.1873,26.4464,-14.2592
BRISK,BRISK,SEL_NN,6,7.50199,16.7291,-9.22715
BRISK,BRISK,SEL_NN,7,34.3404,18.365,15.9755
BRISK,BRISK,SEL_NN,8,18.7875,16.9559,1.83165
BRISK,BRISK,SEL_NN,9,15.8894,14.5884,1.30103
BRISK,BRISK,SEL_NN,10,13.7297,14.7387,-1.009
BRISK,BRISK,SEL_NN,11,10.4914,12.8464,-2.35501
BRISK,BRISK,SEL_NN,12,10.1,12.2916,-2.19157
BRISK,BRISK,SEL_NN,13,9.22307,12.7782,-3.55511
BRISK,BRISK,SEL_NN,14,10.9678,11.2881,-0.320307
BRISK,BRISK,SEL_NN,15,8.09422,12.1288,-4.03462
BRISK,BRISK,SEL_NN,16,8.81392,10.3226,-1.50863
BRISK,BRISK,SEL_NN,17,10.2926,9.68809,0.604457
BRISK,BRISK,SEL_NN,18,8.30978,10.8042,-2.49439

BRISK,BRISK,SEL_KNN,1,12.9722,13.031,-0.0588543
BRISK,BRISK,SEL_KNN,2,12.264,21.3097,-9.04566
BRISK,BRISK,SEL_KNN,3,13.9161,15.6932,-1.77703
BRISK,BRISK,SEL_KNN,4,14.8865,15.2031,-0.31659
BRISK,BRISK,SEL_KNN,5,12.1873,26.4299,-14.2426
BRISK,BRISK,SEL_KNN,6,7.50199,17.6743,-10.1723
BRISK,BRISK,SEL_KNN,7,34.3404,16.8563,17.4841
BRISK,BRISK,SEL_KNN,8,18.7875,17.5504,1.23715
BRISK,BRISK,SEL_KNN,9,15.8894,13.8959,1.99347
BRISK,BRISK,SEL_KNN,10,13.7297,13.4121,0.317538
BRISK,BRISK,SEL_KNN,11,10.4914,12.8176,-2.32619
BRISK,BRISK,SEL_KNN,12,10.1,11.2037,-1.1037
BRISK,BRISK,SEL_KNN,13,9.22307,11.8505,-2.62748
BRISK,BRISK,SEL_KNN,14,10.9678,12.0376,-1.06982
BRISK,BRISK,SEL_KNN,15,8.09422,13.1813,-5.08705
BRISK,BRISK,SEL_KNN,16,8.81392,11.2969,-2.48293
BRISK,BRISK,SEL_KNN,17,10.2926,9.2872,1.00535
BRISK,BRISK,SEL_KNN,18,8.30978,10.9372,-2.62746

BRISK,BRIEF,SEL_NN,1,12.9722,13.8215,-0.849391
BRISK,BRIEF,SEL_NN,2,12.264,17.9374,-5.67334
BRISK,BRIEF,SEL_NN,3,13.9161,12.3892,1.52694
BRISK,BRIEF,SEL_NN,4,14.8865,21.8235,-6.93696
BRISK,BRIEF,SEL_NN,5,12.1873,25.9018,-13.7145
BRISK,BRIEF,SEL_NN,6,7.50199,19.1942,-11.6922
BRISK,BRIEF,SEL_NN,7,34.3404,17.8904,16.45
BRISK,BRIEF,SEL_NN,8,18.7875,18.3884,0.399152
BRISK,BRIEF,SEL_NN,9,15.8894,14.9617,0.927722
BRISK,BRIEF,SEL_NN,10,13.7297,12.0114,1.7183
BRISK,BRIEF,SEL_NN,11,10.4914,11.5187,-1.02732
BRISK,BRIEF,SEL_NN,12,10.1,14.1488,-4.04879
BRISK,BRIEF,SEL_NN,13,9.22307,12.8926,-3.6695
BRISK,BRIEF,SEL_NN,14,10.9678,10.3194,0.648372
BRISK,BRIEF,SEL_NN,15,8.09422,11.1036,-3.00941
BRISK,BRIEF,SEL_NN,16,8.81392,12.8491,-4.03522
BRISK,BRIEF,SEL_NN,17,10.2926,11.1959,-0.903379
BRISK,BRIEF,SEL_NN,18,8.30978,9.5183,-1.20852

BRISK,BRIEF,SEL_KNN,1,12.9722,13.8109,-0.838778
BRISK,BRIEF,SEL_KNN,2,12.264,19.5623,-7.29824
BRISK,BRIEF,SEL_KNN,3,13.9161,14.4688,-0.552706
BRISK,BRIEF,SEL_KNN,4,14.8865,25.8379,-10.9514
BRISK,BRIEF,SEL_KNN,5,12.1873,17.0557,-4.86847
BRISK,BRIEF,SEL_KNN,6,7.50199,19.9254,-12.4234
BRISK,BRIEF,SEL_KNN,7,34.3404,17.5726,16.7678
BRISK,BRIEF,SEL_KNN,8,18.7875,18.4531,0.334376
BRISK,BRIEF,SEL_KNN,9,15.8894,16.7517,-0.862271
BRISK,BRIEF,SEL_KNN,10,13.7297,15.9407,-2.21108
BRISK,BRIEF,SEL_KNN,11,10.4914,14.8279,-4.3365
BRISK,BRIEF,SEL_KNN,12,10.1,15.6771,-5.57707
BRISK,BRIEF,SEL_KNN,13,9.22307,13.4222,-4.19915
BRISK,BRIEF,SEL_KNN,14,10.9678,12.7265,-1.75874
BRISK,BRIEF,SEL_KNN,15,8.09422,11.2161,-3.12186
BRISK,BRIEF,SEL_KNN,16,8.81392,13.2538,-4.43987
